SALESNO,SALESUNITS,SALESDOLLAR,SALESCOST,CUSTID,ITEMID,STOREID,TIMENO
1,100,5215,4187,C0954327,I0036566,S0954327,1
2,140,6215,4887,C1010398,I0036566,S0954327,2
3,120,5915,4687,C0954327,I0036566,S0954327,3
4,110,5745,4577,C9128574,I0036566,S0954327,4
5,105,5115,4287,C1010398,I0036566,S1010398,1
6,160,6915,4587,C0954327,I0036566,S1010398,2
7,90,4915,4847,C2388597,I0036566,S1010398,3
8,110,5448,4188,C8574932,I0036566,S1010398,4
9,105,5115,4287,C0954327,I0036566,S9432910,1
10,113,6115,4787,C0954327,I0036566,S9432910,2
11,144,5954,4655,C0954327,I0036566,S9432910,3
12,159,6245,5287,C3340959,I0036566,S9432910,4
13,100,5215,4187,C0954327,I0036577,S0954327,1
14,140,6215,4887,C8574932,I0036577,S0954327,2
15,120,5915,4687,C0954327,I0036577,S0954327,3
16,110,5745,4577,C8654390,I0036577,S0954327,4
17,105,5115,4287,C0954327,I0036577,S1010398,1
18,160,6915,4587,C0954327,I0036577,S1010398,2
19,90,4915,4847,C0954327,I0036577,S1010398,3
20,110,5448,4188,C8654390,I0036577,S1010398,4
21,105,5115,4287,C9128574,I0036577,S9432910,1
22,113,6115,4787,C0954327,I0036577,S9432910,2
23,144,5954,4655,C9403348,I0036577,S9432910,3
24,159,6245,5287,C9432910,I0036577,S9432910,4
25,100,5215,4187,C0954327,I0036566,S0954327,5
26,140,6215,4887,C1010398,I0036566,S0954327,6
27,120,5915,4687,C0954327,I0036566,S0954327,7
28,110,5745,4577,C9128574,I0036566,S0954327,8
29,105,5115,4287,C1010398,I0036566,S1010398,5
30,160,6915,4587,C0954327,I0036566,S1010398,6
31,90,4915,4847,C2388597,I0036566,S1010398,7
32,110,5448,4188,C8574932,I0036566,S1010398,8
33,105,5215,4287,C0954327,I0036566,S9432910,5
34,113,6215,4487,C0954327,I0036566,S9432910,6
35,144,5854,4455,C0954327,I0036566,S9432910,7
36,159,6245,5287,C3340959,I0036566,S9432910,8
37,100,5215,4187,C0954327,I0036577,S0954327,5
38,140,6215,4887,C8574932,I0036577,S0954327,6
39,120,5915,4687,C0954327,I0036577,S0954327,7
40,110,5895,4377,C8654390,I0036577,S0954327,8
41,105,5215,4387,C0954327,I0036577,S1010398,5
42,160,6915,4687,C0954327,I0036577,S1010398,6
43,90,5915,4947,C0954327,I0036577,S1010398,7
44,110,5548,4288,C8654390,I0036577,S1010398,8
45,105,5115,4287,C9128574,I0036577,S9432910,5
46,113,6315,4987,C0954327,I0036577,S9432910,6
47,144,5954,4655,C9403348,I0036577,S9432910,7
48,159,6145,5387,C9432910,I0036577,S9432910,8
49,100,5515,4067,C0954327,I0036566,S0954327,9
50,140,6015,4677,C1010398,I0036566,S0954327,10
