Date,Average humidity (%),Rainfall for month (in),Maximum rain per minute,Maximum humidity (%),Minimum humidity (%)
2009/1/1,35,0,0,4,27
2009/1/2,32,0,0,4,16
2009/1/3,60,0,0,8,35
2009/1/4,67,0,0,7,35
2009/1/5,30,0,0,5,13
2009/1/6,42,0,0,5,27
2009/1/7,60,0,0,8,46
2009/1/8,41,0,0,5,28
2009/1/9,46,0,0,8,27
2009/1/10,38,0,0,4,29
2009/1/11,41,0,0,5,29
2009/1/12,60,0.03,0,8,41
2009/1/13,47,0.03,0,5,34
2009/1/14,45,0.03,0,5,34
2009/1/15,42,0.03,0,5,28
2009/1/16,28,0.03,0,4,14
2009/1/17,21,0.03,0,2,11
2009/1/18,15,0.03,0,2,8
2009/1/19,19,0.03,0,3,7
2009/1/20,27,0.03,0,6,4
2009/1/21,11,0.03,0,1,6
2009/1/22,40,0.03,0,6,17
2009/1/23,81,0.03,0,8,63
2009/1/24,68,0.09,0,9,40
2009/1/25,77,0.2,0,9,45
2009/1/26,73,0.2,0,7,65
2009/1/27,51,0.2,0,7,25
2009/1/28,43,0.2,0,5,31
2009/1/29,40,0.2,0,5,27
2009/1/30,33,0.21,0,4,22
2009/1/31,22,0.21,0,3,14
2009/2/1,26,0,0,4,12
2009/2/2,33,0,0,4,25
2009/2/3,37,0,0,5,19
2009/2/4,16,0,0,2,7
2009/2/5,15,0,0,2,10
2009/2/6,50,0,0,9,27
2009/2/7,56,0,0,8,35
2009/2/8,65,0,0,8,27
2009/2/9,48,0,0,8,31
2009/2/10,56,0,0,8,36
2009/2/11,53,0.01,0,7,36
2009/2/12,48,0.01,0,8,25
2009/2/13,77,0.01,0,8,54
2009/2/14,75,0.03,0,8,43
2009/2/15,32,0.03,0,8,17
2009/2/16,24,0.03,0,4,15
2009/2/17,44,0.03,0,8,27
2009/2/18,42,0.03,0,5,26
2009/2/19,37,0.03,0,5,23
2009/2/20,36,0.03,0,8,13
2009/2/21,29,0.03,0,8,15
2009/2/22,18,0.03,0,2,10
2009/2/23,47,0.03,0,6,27
2009/2/24,41,0.03,0,6,30
2009/2/25,32,0.03,0,8,13
2009/2/26,53,0.03,0,8,24
2009/2/27,45,0.03,0,7,25
2009/2/28,27,0.03,0,5,10
2009/3/1,21,0,0,5,9
2009/3/2,16,0,0,2,11
2009/3/3,30,0,0,4,19
2009/3/4,20,0,0,5,9
2009/3/5,26,0,0,4,14
2009/3/6,36,0,0,7,23
2009/3/7,66,0.03,0,8,35
2009/3/8,23,0.03,0,4,10
2009/3/9,41,0.03,0,8,21
2009/3/10,51,0.04,0,8,22
2009/3/11,35,0.04,0,6,11
2009/3/12,74,0.04,0,8,19
2009/3/16,22,0.04,0,2,15
2009/3/17,29,0.04,0,5,16
2009/3/18,42,0.04,0,6,20
2009/3/19,50,0.04,0,8,17
2009/3/20,44,0.04,0,6,22
2009/3/21,44,0.04,0,8,12
2009/3/22,29,0.04,0,6,8
2009/3/23,43,0.04,0,6,31
2009/3/24,36,0.04,0,4,27
2009/3/25,47,0.04,0,7,28
2009/3/26,82,0.04,0,8,72
2009/3/27,64,0.4,0,8,23
2009/3/28,37,0.4,0,4,23
2009/3/29,39,0.4,0,8,18
2009/3/30,37,0.4,0,5,27
2009/3/31,40,0.4,0,6,27
2009/4/1,67,0,0,87,27
2009/4/2,49,0.01,0,82,32
2009/4/3,60,0.01,0,93,30
2009/4/4,67,0.24,0,93,40
2009/4/5,55,0.25,0,78,29
2009/4/6,30,0.25,0,52,13
2009/4/7,18,0.25,0,31,12
2009/4/8,22,0.25,0,37,11
2009/4/9,47,0.25,0,91,21
2009/4/10,73,0.3,0,92,40
2009/4/11,77,0.31,0,89,46
2009/4/12,82,0.41,0,92,55
2009/4/13,45,0.41,0,91,21
2009/4/14,52,0.41,0,76,25
2009/4/15,54,0.41,0,85,21
2009/4/16,91,0.48,0,94,80
2009/4/17,92,0.55,0,94,90
2009/4/18,87,1.24,0,93,57
