Date,Closing Price,Higest Price,Lowest Price,Opening Price,Previous Close Amount,Up/Down Range,Amount up/down,Change Rate,Turnover Volum,Turnover amount,Total Market,Market Capitalisation,Number of Transactions
2020/8/28,7.48,7.63,7.27,7.55,7.56,-0.08,-1.0582,3.6412,16901116,125529501.2,3471903949,3471903949,8565
2020/8/27,7.56,8.1,7.35,7.93,7.88,-0.32,-4.0609,6.0503,28082819,214867070.5,3509036612,3509036612,14590
2020/8/26,7.88,8.57,7.88,8.38,8.76,-0.88,-10.0457,7.0388,32671310,266386785.4,3657567262,3657567262,18058
2020/8/25,8.76,9.25,8.1,8.5,8.65,0.11,1.2717,10.3251,47924588,411284485.9,4066026550,4066026550,27027
2020/8/24,8.65,9.16,8.4,8.79,8.33,0.32,3.8415,13.2945,61707370,545200753.8,4014969139,4014969139,30568
2020/8/21,8.33,8.33,8.03,8.33,7.57,0.76,10.0396,4.7306,21957597,182732992.7,3866438489,3866438489,5788
2020/8/20,7.57,7.79,7.05,7.22,7.18,0.39,5.4318,4.0163,18641792,137210909,3513678195,3513678195,12057
2020/8/19,7.18,7.34,7.05,7.1,7.08,0.1,1.4124,2.647,12286415,88491416.67,3332656465,3332656465,8169
2020/8/18,7.08,7.36,7.05,7.18,7.17,-0.09,-1.2552,2.658,12337466,88501265.83,3286240637,3286240637,10456
2020/8/17,7.17,7.22,7.02,7.12,7.15,0.02,0.2797,2.9243,13573304,96529147.45,3328014882,3328014882,9171
2020/8/14,7.15,7.39,6.65,6.71,6.75,0.4,5.9259,4.5182,20971665,148619163.5,3318731716,3318731716,13218
2020/8/13,6.75,6.77,6.6,6.62,6.63,0.12,1.81,1.214,5634700,37874366,3133068404,3133068404,4245
2020/8/12,6.63,6.68,6.48,6.54,6.61,0.02,0.3026,1.19,5523400,36308757,3077369410,3077369410,4440
2020/8/11,6.61,6.86,6.59,6.83,6.83,-0.22,-3.2211,1.7824,8272962,55564892.3,3068086244,3068086244,6274
2020/8/10,6.83,6.95,6.4,6.43,6.51,0.32,4.9155,2.8004,12998501,87653082.36,3170201066,3170201066,7868
2020/8/7,6.51,6.67,6.46,6.67,6.65,-0.14,-2.1053,0.8094,3756706,24600708.1,3021670416,3021670416,2737
2020/8/6,6.65,6.7,6.57,6.67,6.67,-0.02,-0.2999,0.7263,3371168,22372460.34,3086652575,3086652575,2219
2020/8/5,6.67,6.69,6.56,6.66,6.69,-0.02,-0.299,1.1383,5283704,35060264.34,3095935741,3095935741,4234
2020/8/4,6.69,6.71,6.59,6.69,6.7,-0.01,-0.1493,1.5523,7205032,47833138.71,3105218907,3105218907,5417
2020/8/3,6.7,6.72,6.51,6.51,6.51,0.19,2.9186,1.7152,7961047,52842389.28,3109860489,3109860489,5150
2020/7/31,6.51,6.52,6.38,6.45,6.47,0.04,0.6182,1.017,4720337,30469808.29,3021670416,3021670416,3151
2020/7/30,6.47,6.52,6.38,6.39,6.4,0.07,1.0938,0.9328,4329900,27916720.17,3003104085,3003104085,3234
2020/7/29,6.4,6.41,6.22,6.3,6.31,0.09,1.4263,0.7202,3343051,21163916.85,2970613005,2970613005,2173
2020/7/28,6.31,6.35,6.25,6.25,6.24,0.07,1.1218,0.768,3564608,22494663.24,2928838759,2928838759,2532
2020/7/27,6.24,6.35,6.21,6.35,6.3,-0.06,-0.9524,0.8802,4085301,25555723.26,2896347680,2896347680,2654
2020/7/24,6.3,6.61,6.29,6.53,6.56,-0.26,-3.9634,0.9828,4561534,29342488.73,2924197177,2924197177,3535
2020/7/23,6.56,6.6,6.42,6.57,6.65,-0.09,-1.3534,1.132,5254098,34202223.06,3044878330,3044878330,3831
2020/7/22,6.65,6.77,6.62,6.74,6.74,-0.09,-1.3353,1.1504,5339802,35748204.87,3086652575,3086652575,3457
2020/7/21,6.74,6.74,6.53,6.63,6.63,0.11,1.6591,1.4538,6748030,44756138.2,3128426821,3128426821,4764
2020/7/20,6.63,6.63,6.39,6.4,6.37,0.26,4.0816,1.3842,6424793,42164715.29,3077369410,3077369410,4628
2020/7/17,6.37,6.46,6.3,6.39,6.38,-0.01,-0.1567,0.9594,4452960,28318264.35,2956688256,2956688256,2358
2020/7/16,6.38,6.64,6.35,6.53,6.53,-0.15,-2.2971,1.5382,7139902,46458601.85,2961329839,2961329839,3626
2020/7/15,6.53,6.76,6.49,6.7,6.74,-0.21,-3.1157,1.2636,5865330,38865128.66,3030953581,3030953581,3373
2020/7/14,6.74,6.88,6.66,6.73,6.76,-0.02,-0.2959,1.8406,8543513,57759467.21,3128426821,3128426821,4276
2020/7/13,6.76,6.82,6.49,6.5,6.46,0.3,4.644,2.3685,10993766,73818678.06,3137709986,3137709986,5885
2020/7/10,6.46,6.52,6.38,6.45,6.49,-0.03,-0.4622,1.3398,6218612,40108123.43,2998462502,2998462502,3005
2020/7/9,6.49,6.52,6.35,6.36,6.37,0.12,1.8838,1.5907,7383161,47529800.39,3012387250,3012387250,3722
2020/7/8,6.37,6.39,6.2,6.25,6.25,0.12,1.92,1.5637,7258020,45737205.47,2956688256,2956688256,3465
2020/7/7,6.25,6.41,6.25,6.36,6.3,-0.05,-0.7937,1.75,8122733,51244578.37,2900989263,2900989263,3916
2020/7/6,6.3,6.33,6.1,6.11,6.09,0.21,3.4483,1.8363,8523365,53008349.52,2924197177,2924197177,3905
2020/7/3,6.09,6.09,6.01,6.03,6.02,0.07,1.1628,1.0904,5061019,30638951.11,2826723937,2826723937,2169
2020/7/2,6.02,6.02,5.9,5.92,5.92,0.1,1.6892,0.6334,2940060,17582563.46,2794232858,2794232858,1512
2020/7/1,5.92,5.93,5.88,5.93,5.89,0.03,0.5093,0.3951,1833784,10819835.1,2747817029,2747817029,864
2020/6/30,5.89,5.91,5.86,5.88,5.85,0.04,0.6838,0.3294,1528833,8998810.99,2733892281,2733892281,731
2020/6/29,5.85,5.89,5.82,5.89,5.91,-0.06,-1.0152,0.385,1786861,10457545.63,2715325950,2715325950,1139
2020/6/24,5.91,5.97,5.88,5.94,5.96,-0.05,-0.8389,0.4574,2123238,12544693.2,2743175447,2743175447,1239
2020/6/23,5.96,6,5.94,5.99,5.99,-0.03,-0.5008,0.2896,1344300,8019115,2766383361,2766383361,1174
2020/6/22,5.99,6.05,5.97,6.05,6.07,-0.08,-1.318,0.5824,2703328,16207420.16,2780308109,2780308109,1571
2020/6/19,6.07,6.1,5.97,6.02,6,0.07,1.1667,0.5478,2542667,15357232.63,2817440772,2817440772,1490
2020/6/18,6,6.06,5.96,6.05,6.06,-0.06,-0.9901,0.5261,2441927,14656230.45,2784949692,2784949692,1375
2020/6/17,6.06,6.08,6,6.02,6.06,0,0,0.4421,2052176,12395408.54,2812799189,2812799189,1640
2020/6/16,6.06,6.09,5.94,5.95,5.92,0.14,2.3649,0.727,3374453,20382820.06,2812799189,2812799189,1832
2020/6/15,5.92,6.01,5.91,5.96,5.95,-0.03,-0.5042,0.3739,1735400,10347447,2747817029,2747817029,1325
2020/6/12,5.95,5.98,5.86,5.9,5.94,0.01,0.1684,0.4924,2285601,13499139.9,2761741778,2761741778,1137
2020/6/11,5.94,6.02,5.91,5.96,5.96,-0.02,-0.3356,0.3757,1743900,10397909,2757100195,2757100195,991
2020/6/10,5.96,6.04,5.94,6.04,6.03,-0.07,-1.1609,0.3412,1583800,9451161,2766383361,2766383361,1074
2020/6/9,6.03,6.03,5.97,6,6,0.03,0.5,0.3926,1822171,10933447.99,2798874440,2798874440,921
2020/6/8,6,6.07,5.98,6.04,5.98,0.02,0.3344,0.4109,1907020,11467011.67,2784949692,2784949692,1161
2020/6/5,6.03,6.1,6.02,6.08,6.08,-0.05,-0.8224,0.4253,1974201,11929802.02,2798874440,2798874440,1065
2020/6/4,6.08,6.09,6.02,6.05,6.05,0.03,0.4959,0.5107,2370371,14356241.96,2822082355,2822082355,1318
2020/6/3,6.05,6.16,6.03,6.14,6.14,-0.09,-1.4658,0.7729,3587426,21858384.78,2808157606,2808157606,2009
2020/6/2,6.14,6.17,6.11,6.17,6.13,0.01,0.1631,0.6184,2870261,17607498.91,2849931851,2849931851,2033
2020/6/1,6.13,6.17,6.08,6.13,6.12,0.01,0.1634,0.8463,3928338,24015578.66,2845290269,2845290269,1793
2020/5/29,6.12,6.17,5.98,6.02,6.01,0.11,1.8303,1.0184,4726769,28765521.27,2840648686,2840648686,2619
2020/5/28,6.01,6.02,5.94,5.95,5.96,0.05,0.8389,0.4888,2268973,13566509.05,2789591275,2789591275,1482
2020/5/27,5.96,6.04,5.95,5.97,5.99,-0.03,-0.5008,0.5014,2327499,13932849.8,2766383361,2766383361,1226
2020/5/26,5.99,6.08,5.97,6.03,6,-0.01,-0.1667,0.7666,3558062,21412290.52,2780308109,2780308109,2427
2020/5/25,6,6,5.88,5.92,5.88,0.12,2.0408,0.5197,2412078,14311588.22,2784949692,2784949692,1552
2020/5/22,5.88,5.98,5.83,5.96,5.96,-0.08,-1.3423,0.4162,1931860,11379532.17,2729250698,2729250698,1420
2020/5/21,5.96,6.02,5.92,5.98,5.96,0,0,0.5912,2744319,16389883.82,2766383361,2766383361,1984
2020/5/20,5.96,5.98,5.88,5.95,5.94,0.02,0.3367,0.6247,2899442,17181333.72,2766383361,2766383361,1357
2020/5/19,5.94,5.94,5.84,5.85,5.82,0.12,2.0619,0.662,3072600,18127469,2757100195,2757100195,1442
2020/5/18,5.82,5.91,5.75,5.77,5.78,0.04,0.692,0.5748,2667955,15601975.15,2701401201,2701401201,1457
2020/5/15,5.78,5.82,5.77,5.8,5.77,0.01,0.1733,0.2775,1287985,7456233.25,2682834870,2682834870,692
2020/5/14,5.77,5.82,5.76,5.82,5.82,-0.05,-0.8591,0.3237,1502300,8693166.43,2678193287,2678193287,936
2020/5/13,5.82,5.84,5.78,5.81,5.82,0,0,0.2378,1103776,6412300.89,2701401201,2701401201,756
2020/5/12,5.82,5.88,5.76,5.88,5.87,-0.05,-0.8518,0.4506,2091600,12166522,2701401201,2701401201,960
2020/5/11,5.87,5.93,5.82,5.93,5.88,-0.01,-0.1701,0.4137,1920100,11279451,2724609115,2724609115,937
2020/5/8,5.88,5.91,5.84,5.85,5.83,0.05,0.8576,0.587,2724600,16038171,2729250698,2729250698,1047
2020/5/7,5.83,5.88,5.83,5.87,5.87,-0.04,-0.6814,0.3258,1512000,8853107,2706042784,2706042784,903
2020/5/6,5.87,5.88,5.78,5.8,5.83,0.04,0.6861,0.6304,2926111,17086754.8,2724609115,2724609115,1194
2020/4/30,5.83,5.83,5.7,5.7,5.7,0.13,2.2807,0.3948,1832607,10602570.56,2706042784,2706042784,801
2020/4/29,5.7,5.76,5.66,5.68,5.7,0,0,0.3124,1449800,8283976,2645702207,2645702207,1096
2020/4/28,5.7,5.8,5.58,5.77,5.77,-0.07,-1.2132,0.5661,2627525,14971436.75,2645702207,2645702207,1592
2020/4/27,5.77,5.86,5.75,5.83,5.81,-0.04,-0.6885,0.4189,1944506,11291086.92,2678193287,2678193287,1101
2020/4/24,5.81,5.96,5.8,5.93,5.99,-0.18,-3.005,0.6832,3170923,18629802.47,2696759618,2696759618,1640
2020/4/23,5.99,6.09,5.92,5.96,5.94,0.05,0.8418,0.9735,4518523,27124943,2780308109,2780308109,2317
2020/4/22,5.94,5.95,5.87,5.9,5.95,-0.01,-0.1681,0.5401,2507111,14816398.79,2757100195,2757100195,1056
2020/4/21,5.95,5.95,5.82,5.85,5.89,0.06,1.0187,0.5926,2750385,16189076.26,2761741778,2761741778,1520
2020/4/20,5.89,5.89,5.82,5.85,5.84,0.05,0.8562,0.4292,1992099,11667678.14,2733892281,2733892281,951
2020/4/17,5.84,5.87,5.82,5.84,5.84,0,0,0.4893,2271100,13269923,2710684367,2710684367,1134
2020/4/16,5.84,5.89,5.74,5.78,5.77,0.07,1.2132,0.5516,2560336,14943570.49,2710684367,2710684367,1167
2020/4/15,5.77,5.85,5.76,5.84,5.83,-0.06,-1.0292,0.3624,1682200,9748480,2678193287,2678193287,858
2020/4/14,5.83,5.84,5.75,5.76,5.75,0.08,1.3913,0.2924,1357206,7877132.74,2706042784,2706042784,680
